publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2021p207981,earthquake,2021-03-18T22:52:24.107Z,2021-03-18T22:55:24.280Z,173.3262329,-40.34827042,4.478769923,188.3101807,M,,LOCSAT,confirmed,manual,iasp91,37,27,96,0.583633125,132.4701824,0.427145164,0
2021p197599,earthquake,2021-03-15T02:40:48.705Z,2021-03-15T02:52:26.587Z,174.0775909,-41.31895828,3.770880115,30.9138813,MLv,,LOCSAT,confirmed,manual,iasp91,46,35,67,0.056807619,67.05942917,0.557679342,0.316681939
2021p189515,earthquake,2021-03-12T02:53:57.598Z,2021-03-12T03:20:25.916Z,173.9784546,-40.92892838,4.332274,55.36306,M,,LOCSAT,confirmed,manual,iasp91,27,19,56,0.134191498,66.35671997,0.469741495,0
2021p189475,earthquake,2021-03-12T02:32:31.894Z,2021-03-12T02:36:21.961Z,173.9765167,-40.93893814,4.810317226,54.12031174,M,,LOCSAT,confirmed,manual,iasp91,54,41,85,0.143263251,67.67443848,0.625585338,0
2021p174632,not locatable,2021-03-06T14:44:45.879Z,2021-03-06T14:54:34.697Z,173.5052931,-41.71038552,3.855896262,58.4375,M,,NonLinLoc,,automatic,nz3drx,26,26,7,0.451201512,101.264645,2.38556841,0
2021p172613,not locatable,2021-03-05T20:48:16.051Z,2021-03-05T20:53:19.378Z,173.203735,-42.11545757,3.020557679,11.5625,M,,NonLinLoc,,automatic,nz3drx,13,13,3,0.388812079,89.03462035,2.504140637,0
2021p170580,earthquake,2021-03-05T02:45:08.738Z,2021-03-11T03:40:46.790Z,173.3161316,-40.48800659,3.507879321,152.1469574,M,,LOCSAT,confirmed,manual,iasp91,36,21,41,0.557220519,139.0177631,0.690300308,0
2021p166531,earthquake,2021-03-03T14:48:15.937Z,2021-03-25T01:00:44.126Z,173.654953,-42.31337738,3.952857682,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,34,19,8,0.114153162,133.1385651,0.657522825,0
2021p162820,earthquake,2021-03-02T05:50:37.384Z,2021-03-24T02:57:10.582Z,173.5183411,-40.6659317,3.307433914,115.4323273,M,,LOCSAT,confirmed,manual,iasp91,39,26,18,0.335152328,113.2912579,0.533841907,0
2021p162645,earthquake,2021-03-02T04:17:34.371Z,2021-03-02T04:21:52.479Z,173.4304962,-40.38808823,3.64652013,148.6666107,M,,LOCSAT,confirmed,manual,iasp91,45,25,76,0.557318807,122.2724724,0.566060479,0
2021p139005,earthquake,2021-02-21T10:21:52.274Z,2021-03-11T01:31:33.658Z,173.3579102,-41.45915985,3.246217542,66.68833923,MLv,,LOCSAT,confirmed,manual,iasp91,31,27,16,0.161023751,43.49363708,0.410923037,0.172008005
2021p124900,earthquake,2021-02-16T05:07:11.737Z,2021-03-16T03:47:34.942Z,173.9949799,-40.28769302,3.432828806,80.09095764,M,,LOCSAT,confirmed,manual,iasp91,38,21,14,0.516509056,110.2142944,0.818712602,0
2021p120445,earthquake,2021-02-14T13:33:22.215Z,2021-03-09T20:13:45.835Z,174.0508118,-41.95843887,3.698421204,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,33,25,9,0.0518343,186.1187115,0.616409249,0
2021p104001,earthquake,2021-02-08T11:32:11.875Z,2021-02-08T11:34:35.221Z,174.1054077,-41.50802994,3.017958573,28.60632896,M,,LOCSAT,confirmed,manual,iasp91,46,29,24,0.120930679,66.95487976,0.572848456,0
2021p073329,earthquake,2021-01-28T03:10:06.535Z,2021-02-23T22:24:26.264Z,172.2161255,-41.72679138,3.232320282,77.14383698,MLv,,LOCSAT,confirmed,manual,iasp91,35,23,11,0.111133665,108.2950649,0.480219715,0.202622567
2021p070403,earthquake,2021-01-27T01:10:43.618Z,2021-02-23T03:12:08.673Z,173.6259155,-42.0452919,3.347510409,49.33704758,M,,LOCSAT,confirmed,manual,iasp91,48,39,18,0.112083279,118.4109726,1.190531353,0
2021p063679,earthquake,2021-01-24T13:28:25.940Z,2021-01-24T13:32:31.908Z,173.4169617,-40.32707596,4.354778646,167.8287201,M,,LOCSAT,confirmed,manual,iasp91,27,20,95,0.610434949,129.0727673,0.420658565,0
2021p057917,earthquake,2021-01-22T10:18:20.912Z,2021-02-18T03:02:48.744Z,174.2226105,-41.82036972,3.564502818,15.02034187,M,,LOCSAT,confirmed,manual,iasp91,45,31,24,0.071601011,144.7603378,0.627318822,0
2021p025233,earthquake,2021-01-10T08:04:25.939Z,2021-01-15T03:19:29.037Z,172.8248444,-41.77109909,3.892584081,6.733148575,M,,LOCSAT,confirmed,manual,iasp91,38,25,67,0.060736299,42.55770874,0.404381996,0
2021p009528,earthquake,2021-01-04T12:36:55.648Z,2021-02-01T00:22:37.028Z,173.7073059,-42.27600861,3.939600646,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,29,19,6,0.187457845,174.8023796,0.477918712,0
2021p002363,earthquake,2021-01-01T20:59:15.958Z,2021-01-01T21:15:37.534Z,172.6790466,-41.16488647,3.18368348,160.0218658,M,,LOCSAT,confirmed,manual,iasp91,24,16,37,0.24131985,113.1394348,0.256743812,0
2020p988503,earthquake,2020-12-31T17:54:35.279Z,2020-12-31T18:04:52.540Z,174.0862732,-41.85286713,3.762430745,9.864312172,M,,LOCSAT,confirmed,manual,iasp91,41,32,70,0.04654409,142.1728592,0.3890721,0
